R,TOA
6.53E+04,3.49E+02
8.84E+04,6.92E+02
1.20E+05,1.20E+03
1.62E+05,1.69E+03
2.19E+05,1.89E+03
2.97E+05,1.64E+03
4.02E+05,1.17E+03
5.44E+05,7.26E+02
7.36E+05,4.04E+02
9.97E+05,2.08E+02
1.35E+06,1.02E+02
1.83E+06,4.85E+01
2.47E+06,2.22E+01
3.35E+06,9.93E+00
4.53E+06,4.34E+00
6.13E+06,1.86E+00
8.30E+06,7.80E-01
1.12E+07,3.25E-01
1.52E+07,1.39E-01
2.06E+07,6.17E-02
2.79E+07,2.70E-02
3.77E+07,1.17E-02
5.11E+07,5.09E-03
6.92E+07,2.20E-03
9.36E+07,9.46E-04
1.27E+08,4.07E-04
1.72E+08,1.74E-04
2.32E+08,7.47E-05
3.14E+08,3.20E-05
4.26E+08,1.37E-05
5.76E+08,5.85E-06
7.80E+08,2.52E-06
1.06E+09,1.11E-06
